api_name,text_clean
get_MyStoreTypeWStr,Sets or retrieves the type of store specified by the MyStoreTypeWStr property. 
get_Name,gets a BSTR representing the name of the stream. This name is used for informational or display purposes.
get_Name,gets a descriptive name of the terminal. The name must be usable to the user.
get_Name,Gets or sets the name of a network profile. 
get_Name,Gets or sets the name that is associated with a value in a name-value pair. 
get_Name,Gets the acd group name. this string can be a displayable name for the group.
get_Name,Gets the agent handler name.
get_Name,gets the friendly name for the terminal superclass.
get_Name,Gets the identifier part of the name-value pair represented by an OCSPProperty object.
get_Name,Gets the localized name of the category.
get_Name,Gets the name of the current catalog.
get_Name,gets the name of the directory object.
get_Name,Gets the name of the IAzObjectPicker object.
get_Name,Gets the name of the object. 
get_Name,Gets the name of the registered task.
get_Name,Gets the name of the service.
get_Name,Gets the name of the task.
get_Name,Gets the name that is used to identify the folder that contains a task.
get_Name,Gets the queue name.
get_Name,gets the terminal's friendly name. 
get_Name,is a null-terminated string that contains the name of the recipient. 
get_Name,is a null-terminated string that contains the name of the sender. 
get_Name,is a null-terminated string that contains the user-friendly display name for a fax port.
get_Name,is a null-terminated string that contains the user-friendly name associated with the inbound fax routing method. The string is suitable for display to users.
get_Name,is a null-terminated string that specifies the name of the outbound routing group.
get_Name,Name of the classification property definition value.
get_Name,Receives a pointer to a string value that contains the name of the data object represented by this content object.
get_Name,Receives the name of the WDS client on the WDS server.
get_Name,Retrieves a CERTENROLL_OBJECTID value that contains an object identifier.
get_Name,Retrieves a distinguished name.
get_Name,Retrieves a value that indicates the name of the environment that hosts the target computer.
get_Name,Retrieves and sets the name of the file screen template. 
get_Name,Retrieves and sets the name of the quota template. 
get_Name,Retrieves or sets the name of the data collector. 
get_Name,Retrieves or sets the name of the file group. 
get_Name,Retrieves or sets the name of the report. 
get_Name,Retrieves the abbreviated algorithm name.
get_Name,Retrieves the friendly name of the service.
get_Name,retrieves the name for this port mapping.
get_Name,Retrieves the name of the collection.
get_Name,retrieves the name of the connection.
get_Name,Retrieves the name of the content provider.
get_Name,Retrieves the name of the directory or file item in the file system image.
get_Name,Retrieves the name of the font family.
get_Name,Retrieves the name portion of the name-value pair.
get_Name,retrieves the Name property of the ConfigurableItem object.
get_Name,Retrieves the name property of the object.
get_Name,Retrieves the name.
get_Name,Retrieves the unique name used to identify the data collector set.
get_Name,Returns the name for the window object.
get_Name,Returns the name of the server represented by this object.
get_Name,Sets or retrieves the name of the application group. 
get_Name,Sets or retrieves the name of the application. 
get_Name,Sets or retrieves the name of the namespace. 
get_Name,Sets or retrieves the name of the operation. 
get_Name,Sets or retrieves the name of the role. 
get_Name,Sets or retrieves the name of the scope. 
get_Name,Sets or retrieves the name of the task. 
get_Name,Specifies the friendly name of this application. 
get_Name,Specifies the friendly name of this port. 
get_Name,Specifies the friendly name of this rule. 
get_Name,Specifies the name of this element.
get_Name,The channel name.
get_Name,The name of the application.
get_Name,The name of the event property. 
get_Name,The name of the file management job. 
get_Name,The name of the file that contains the properties in the bag.
get_Name,The name of the module definition. 
get_Name,The name of the property. 
get_Name,The name of the rule. 
get_Name,whose value you want to compare to the property condition's value. 
get_NameResolver,Gets a pointer to the IAzNameResolver interface associated with this IAzPrincipalLocator object.
get_Names,Retrieves an enumerator for the names of the data values.
get_Namespace,Receives a pointer to an object of an IWdsTransportNamespace interface that represents the namespace associated with this content.
get_NamespaceManager,Returns a pointer to the object of an IWdsTransportNamespaceManager interface used to manage namespaces on this server.
get_NamespaceRoots,An array of directory paths that the rule is applied to when classification is run. 
get_NamespaceRoots,An array of local directory paths that will be scanned when the file management job is run. 
get_NamespaceRoots,Retrieves or sets an array of local directory paths that will be scanned when the report job is run. 
get_NameValuePairs,A collection of name/value pairs of additional certificate property values.
get_NameValuePairs,Retrieves a collection of name-value pairs associated with the enrollment object.
get_NameValuePairs,Retrieves an IX509NameValuePairs collection associated with a certificate request.
get_NATEventManager,retrieves an INATEventManager interface for the NAT used by the local computer.
GET_NCHITTEST_WPARAM,Retrieves the hit-test value from the specified WPARAM value.
get_NeedsAdviseEvents,Sets or retrieves a value that specifies whether the proxy must be notified when an application has registered for events. 
get_NeedsExplicitValue,Determines whether a rule that uses the classifier needs to provide the value for the classification property. 
get_NeedsFileContent,Determines whether the module needs to read the contents of the file. 
get_NetConnectionProps,retrieves a properties interface for the specified connection.
get_NetworkInterfaceAddress,Receives the MAC address of the server network interface used by this transport session.
get_NetworkInterfaceName,Receives the name of the server network interface used by this transport session.
get_NetworkProfile,Enables a client computer to configure the network profile that is used by the WDS Transport Server. 
get_NetworkSettings,Gets or sets the network settings object that contains a network profile identifier and name. 
get_NetworkUtilization,Receives the percentage of the WDS client۪s network bandwidth used.
get_NewEnum,An enumeration object that implements IEnumEventObject.
get_NextRunTime,Gets the time when the registered task is next scheduled to run.
get_NextWritableAddress,Retrieves the location for the next write operation.
get_NextWritableAddress,"Retrieves the next writable address on the media, including used sectors."
get_NonAdministratorsElevated,Gets and sets a Boolean value that indicates whether non-administrators can perform some update-related actions without administrator approval. 
get_NonMembers,Retrieves or sets the filename patterns that determine the files that are excluded from the file group. 
get_NonMembers,"Retrieves the security identifiers , in text form, of accounts that are refused membership in the application group."
get_NonMembersName,Retrieves the account names of accounts that are refused membership in the application group.
get_NotAfter,Specifies or retrieves the date and time after which the certificate is no longer valid. 
get_NotBefore,Specifies or retrieves the date and time before which the certificate is not valid. 
get_Note,is a null-terminated string that contains the contents of the note field on the cover page of the fax. 
get_NotificationLevel,Gets and sets how users are notified about Automatic Update events. 
get_Notifications,The list of notification periods defined for the job.
get_NotificationsDisabled,Indicates whether interactive firewall notifications are disabled. 
get_NullSigned,Retrieves a Boolean value that indicates whether the certificate request is null-signed.
get_NullSigned,Retrieves a Boolean value that specifies whether the primary signature on the certificate request is null-signed.
get_NullSigned,Specifies and retrieves a Boolean value that indicates whether the certificate request is null-signed. 
get_NumberGathered,returns a BSTR value specifying the phone number that was gathered. This information is available only when the ITPhoneEvent::get_Event method returns PE_NUMBERGATHERED.
get_NumberOfACDCalls,Gets the number of acd calls handled by this agent across all sessions.
get_NumberOfBuffers,Retrieves or sets the suggested number of buffers to use for logging. 
get_NumberOfCalls,Gets the number of acd calls handled by this agent during this session.
get_NumberOfDigits,gets the number of digits in the existing card number.
get_NumberOfExistingTracks,Retrieves the number of existing audio tracks on the media. 
get_NumberOfIncomingCalls,Gets the number of incoming non-acd calls handled by this agent.
get_NumberOfMissedRuns,Gets the number of times the registered task has missed a scheduled run.
get_NumberOfOutgoingCalls,Gets the number of outgoing non-acd calls handled by this agent.
get_NumberOfOutgoingCalls,Gets the number of outgoing non-acd calls handled during by this agent.
get_NumCalls,gets the number of calls currently in the CallHub.
get_NumPendingConnections,Retrieves the number of pending user connections for the target.
get_NumRingsNoAnswer,retrieves the number of rings after which a no answer condition is assumed.
get_NumSessions,Retrieves the number of sessions maintained by broker for the target.
get_ObjectId,Retrieves an object identifier  for the policy object.
get_ObjectId,Retrieves the object identifier  for the attribute. 
get_ObjectId,Retrieves the object identifier  for the extension.
get_ObjectId,Retrieves the object identifier  for the qualifier.
get_ObjectId,Retrieves the object identifier  of the symmetric encryption algorithm.
get_ObjectId,"Retrieves the object identifier , if any, associated with the name."
get_ObjectPicker,Gets a pointer to the IAzObjectPicker interface associated with this IAzPrincipalLocator object.
get_ObjectType,gets a DIRECTORY_OBJECT_TYPE descriptor of the object.
get_OCSPCAConfigurationCollection,Gets an instance of an OCSPCAConfigurationCollection object. This object represents the set of certification authority  certificates for which an Online Certificate Status Protocol  responder service can handle status requests.
get_OCSPServiceProperties,Gets an instance of an OCSPPropertyCollection object. This object represents the attributes of an Online Certificate Status Protocol  responder service.
get_OemHardwareSupportLink,Gets a hyperlink to technical support information for OEM hardware.
get_OffersWindowsUpdates,Gets a Boolean value indicates whether the current service offers updates from Windows Updates.
get_OfficeLocation,is a null-terminated string that contains the office location of the sender. 
get_OfficePhone,is a null-terminated string that contains the office telephone number associated with the sender. 
get_OldCertificate,Gets or sets an old certificate that a request is intended to replace. 
get_OldCertificate,Retrieves the certificate passed to the InitializeFromCertificate method.
get_Online,Gets and sets a Boolean value that indicates whether the UpdateSearcher goes online to search for updates. 
get_Opened,Indicates whether the Open method has been successfully called.
get_Opened,Retrieves a Boolean value that specifies whether the private key is open.
get_Operation,Gets an UpdateOperation value that specifies the operation on an update.
get_OperationID,Sets or retrieves an application-specific value that uniquely identifies the operation within the application. 
get_Operations,Retrieves an IAzOperations object that is used to enumerate IAzOperation objects from the policy data.
get_Operations,Retrieves the operations associated with the role.
get_Operations,Retrieves the operations associated with the task.
get_Operations,Retrieves the operations that can be performed by the algorithm.
get_OperationType,The type of file management job. The type determines the operation to perform on a file when all conditions are met. 
get_Operator,"Specifies the comparison operator, as enumerated by the FsrmPropertyConditionType enumeration. "
get_OptionIds,Gets all of the declared option identifiers recognized by the spell checker.
get_OptionIds,Gets all of the declared option identifiers.
get_Options,gets an indicator of whether the current location supports pulse or tone dialing.
get_Options,gets the translation options for this address and card.
get_Options,retrieves the options associated with this port mapping.
get_Order,Gets the recommended display order of this category among its sibling categories.
get_Ordinal,Specifies or retrieves the position of the ICspStatus object in the ICspStatuses collection. 
get_OriginalScheduledTime,specifies the time that the fax job was originally scheduled for transmission.
get_OriginalScheduledTime,specifies the time that the fax message was originally scheduled for transmission.
get_Originator,gets the originator's user name.
get_OSVersion,Retrieves the client operating system version information.
get_OutboundEventsLevel,indicates the level of detail at which the fax service logs events about outbound fax transmissions in the application log. 
get_OutboundRouting,creates a IFaxOutboundRouting configuration interface. The interface permits users to configure outbound routing groups and rules.
get_OutgoingArchive,Represents the archive of outgoing faxes for a particular fax account that have been sent.
get_OutgoingArchive,represents the archive of outgoing faxes.
get_OutgoingMessages,is a number that represents the total number of outgoing fax jobs that the fax service is in the process of sending.
get_OutgoingQueue,Represents the queue of outgoing faxes for a particular fax account. These are the faxes that have not yet been sent.
get_OutgoingQueue,represents the queue of outgoing faxes.
get_OutgoingQueueAgeLimit,Sets or retrieves a value that indicates the length of time that an undeliverable fax message is kept on the fax server before it is deleted. 
get_OutgoingQueueBlocked,Sets or retrieves a value that indicates whether the fax server queue for outgoing faxes has been blocked. 
get_OutgoingQueuePaused,Sets or retrieves a value that indicates whether the outgoing queue has been paused. 
get_OutputLocation,Retrieves the decorated file name if PLA were to create it now.
get_OutputLocation,Retrieves the decorated folder name if PLA were to create it now.
get_OverallCallRate,Gets an agent's call rate across all sessions.
get_OverwriteOnCommit,Retrieves or sets a value that determines whether a file group is overwritten if it exists. 
get_OverwriteOnCommit,Retrieves or sets a value that determines whether a file screen template is overwritten if it exists when the template is imported. 
get_OverwriteOnCommit,Retrieves or sets a value that determines whether a quota template is overwritten if it exists when the template is imported. 
get_OwnerSID,is supported only for backward compatibility. 
get_OwnerSID,The security ID of the subscription's creator. 
get_OwnerSID,The security identifier of the creator of the event publisher. 
get_OwnerSid,The SID of the owner of the file.
get_PackageGuid,Retrieves the globally unique identifier  for the package in which the event occurred.
get_PackageName,Retrieves the name of the package in which the instance of the object that implements the IMtsEvents interface is running.
get_PacketCount,Gets the number of packets received for an IInkStrokeDisp object.
get_PacketDescription,Gets an array of globally unique identifiers  that describes the types of packet data stored in the IInkStrokeDisp object.
get_PacketSize,"Gets the size, in bytes, of a packet."
get_PageCount,is a number that represents the total number of pages in a fax transmission. applies only to outgoing fax transmissions.
get_PageCount,Retrieves the PageCount property for the FaxStatus object of a parent FaxPort object. The PageCount property represents the total number of pages in an outbound fax transmission.
get_Pages,is a number that indicates the total number of pages in the outbound fax job.
get_Pages,is a number that indicates the total number of pages in the outbound fax message.
get_Pages,is a number that indicates the total number of pages received so far in the fax transmission.
get_Pages,is a value that indicates the total number of pages in the inbound fax message.
get_Parameters,definition. 
get_Parameters,Retrieves a byte array that contains the parameters associated with the signature algorithm. 
get_Parameters,The optional parameters to pass to the module. 
get_Parameters,The parameters for the file management job. 
get_Parameters,The parameters that are passed to the classifier. 
get_Parent,Gets an interface that describes the parent category of this category.
get_Parent,Retrieves the parent effect group of enumeration.
get_ParentDevice,specifies the parent of the device.
get_ParentDirectoryId,The NTFS identifier of the file's parent directory.
get_ParentHwnd,Gets and sets a handle to the parent window that can contain a dialog box. 
get_ParentWindow,Gets and sets the interface that represents the parent window that can contain a dialog box. 
get_ParentWindow,Specifies and retrieves the ID of the window used by key-related user interface dialogs. 
get_ParentWindow,Specifies or retrieves the ID of the window used to display key information. 
get_ParentWindow,Specifies or retrieves the ID of the window used to display signing certificate information. 
get_ParentWindow,Specifies or retrieves the ID of the window used to display the enrollment information. 
get_Password,The password string.
get_Path,Gets or sets the path to an executable file. 
get_Path,Gets the path to where the folder is stored.
get_Path,Gets the path to where the registered task is stored.
get_Path,Gets the path to where the task is stored.
get_Path,Retrieves the directory path associated with the file screen object.
get_Path,Retrieves the logical path to an .iso image.
get_Path,retrieves the Path property of the Error object.
get_Path,Retrieves the path that is associated with this file screen exception.
get_Path,Retrieves the path to which the quota applies.
get_PathLenConstraint,Retrieves the depth of the subordinate certification authority chain.
get_PathToSignedProductExe,Indicates the path to the signed executable file of a third-party firewall product registration.
get_PatternOrURL,Gets the pattern or URL for the rule. The scope rules determine what URLs or paths to include or exclude.
get_Paused,is a Boolean value that indicates whether the job queue for outgoing faxes is paused. 
get_PauseServerQueue,Sets or retrieves the PauseServerQueue property for a FaxServer object. The PauseServerQueue property is a Boolean value that indicates whether the fax server has paused the fax job queue. 
get_PayloadOffset,Specifies the location in the stream buffer where the content starts. 
get_PayloadSize,"The size, in bytes, of the content in the internal storage buffer. "
get_PduData,The PDU message in hexadecimal format as used by GSM devices.
get_PeerIP,Retrieves the remote IP address that is being used by the sharer or by the viewer in communication.
get_PeerPort,Retrieves the remote port that is being used by the sharer or by the viewer in communication.
get_PenTip,Gets or sets a value that indicates which pen tip to use when drawing ink that is associated with this InkDrawingAttributes object. 
get_PercentComplete,Gets an estimate of the percentage of all the updates that have been downloaded.
get_PercentComplete,"Gets how far the overall installation or uninstallation process has progressed, as a percentage."
get_PercentCompletion,Receives the percentage of the current object that has been downloaded.
get_PerformanceCounters,Retrieves or sets the performance counters to query. 
get_Period,Gets or sets the amount of time the task needs to be once executed during regular Automatic maintenance. 
get_PermanentCardID,gets the permanent identifier that identifies the card.
get_PermanentLocationID,gets the permanent location identifier.
get_Permissions,Gets the permissions for the out-of-process server.
get_PerUser,Gets a Boolean value that indicates whether an update is a per-user update.
get_PerUser,Gets a Boolean value that indicates whether this is a per-user update.
get_PerUser,Indicates whether the subscription receives the event only if the owner of the subscription is logged on to the same computer as the publisher. 
get_Phone,retrieves the ITPhone interface pointer for a phone device event.
get_Phone,returns a pointer to the ITPhone interface on the phone object that caused this TAPI object event to be fired.
get_Phone,returns a pointer to the ITPhone interface on the phone object that fired this event.
get_PhoneCapsBuffer,"gets a buffer capability/information about the phone, based on the PHONECAPS_BUFFER enum passed in."
get_PhoneCapsLong,"gets a DWORD capability of the phone, based on the PHONECAPS_LONG enum passed in. The application does not have to call ITPhone::Open before executing this method."
get_PhoneCapsString,"gets a string capability/information about the phone, based on the PHONECAPS_STRING enum passed in. The application does not have to call ITPhone::Open before executing this method."
get_PhoneHandlingEnabled,retrieves the current value of the PhoneHandlingEnabled property.
get_Phones,"enumerates the phone objects corresponding to the phone devices. If there are no phones available that can be used with the address, this method produces an empty collection and returns S_OK."
get_Phones,returns a VARIANT pointer to an ITCollection of phone objects corresponding to the phone devices that can be used with this address.
get_Picture,Gets the graphics file to appear on the InkPicture control. 
get_PinFormat,The PIN format.
get_PinLengthMax,The maximum length of the PIN.
get_PinLengthMin,The minimum length of the PIN.
get_PinMode,The PIN mode.
get_PinType,The PIN type.
get_PivotPointX,is the horizontal center of the object. 
get_PivotPointY,is the vertical center of the object. 
get_PivotRadius,is used to determine how much rotation is used in single finger manipulation. 
get_PlatformId,Retrieves the platform identifier that identifies the operating system architecture that the boot image supports.
get_PlayList,gets the list of files to play.
get_PlugAndPlayId,Gets a string representation of the Plug and Play identifier of the IInkTablet object.
get_PluggableSuperclasses,returns a collection of ITPluggableTerminalSuperclassInfo superclass information interface pointers.
get_PluggableTerminalClasses,returns a collection of ITPluggableTerminalClassInfo terminal class information interface pointers.
get_Plugin,Retrieves the display name of the task agent.
get_pluginName,Retrieves the name of the plug-in.
get_pluginVersion,Retrieves the version of the plug-in.
GET_POINTERID_WPARAM,Retrieves the pointer ID using the specified value.
get_PointerSpeed,How fast the touch pointer cursor will move on the virtual desktop relative to the speed of the gesture on the client.
get_Policies,Retrieves a collection of application policies.
get_Policies,Retrieves a collection of certificate policies.
get_PolicyAdministrators,"of IAzScope retrieves the security identifiers , in text form, of principals that act as policy administrators."
get_PolicyAdministrators,Retrieves the security identifiers  of principals that act as policy administrators in text form.
get_PolicyAdministrators,"Retrieves the security identifiers , in text form, of principals that act as policy administrators."
get_PolicyAdministratorsName,retrieves the account names of principals that act as policy administrators.
get_PolicyAdministratorsName,Retrieves the account names of principals that act as policy administrators. 
get_PolicyQualifiers,Retrieves a collection of optional policy qualifiers that can be applied to a certificate policy.
get_PolicyReaders,"of IAzScope retrieves the security identifiers , in text form, of principals that act as policy readers."
get_PolicyReaders,Retrieves the security identifiers  of principals that act as policy readers in text form.
get_PolicyReaders,"Retrieves the security identifiers , in text form, of principals that act as policy readers."
get_PolicyReadersName,retrieves the account names of principals that act as policy readers.
get_PolicyReadersName,Retrieves the account names of principals that act as policy readers. 
get_PolicyServer,Retrieves the certificate enrollment policy  server that contains the template used during initialization. 
get_PolylineCusps,Gets an array that contains the indices of the cusps of the IInkStrokeDisp object.
get_PopDownCorrectionHeight,Gets the height of the Post-Insertion correction comb when it is positioned below Input Panel.
get_PopUpCorrectionHeight,Gets the height of the Post-Insertion correction comb when it is positioned above Input Panel.
get_Port,gets the port number used to connect to the server of a given ILS directory.
get_Port,Specifies the host-ordered port number for this port. 
get_PortNumber,Retrieves the port number used to communicate with the proxy server. This port number is stored in the indexer and is set by the ISearchManager::SetProxy method.
get_PossibleValues,can be set. 
get_PostgapAlreadyInImage,Determines if the data stream contains post-writing gaps. 
get_PoweredOff,is a Boolean value that indicates whether the fax device is currently available for sending and receiving faxes.
get_PreallocateFile,Retrieves or sets a value that indicates whether PLA should allocate the entire log file size before logging. 
get_PreferredAddresses,returns a collection of addresses that the phone is preferred for use on. The application does not have to call ITPhone::Open before executing this method.
get_PreferredCardID,gets the preferred calling card identifier for dialing from the current location.
get_PreferredInPlaceDirection,Gets or sets the preferred direction of the in-place Input Panel relative to the text entry field. 
get_PreferredPacketDescription,Gets an array of globally unique identifiers  that represents the preferred packet properties for the recognizer.
get_PreferredPhones,returns a collection of phone objects corresponding to the phone devices that are preferred for use with this address.
get_PrefetchSize,indicates the size of the prefetch  buffer. 
get_PrefetchSize,indicates the size of the prefetch  buffer. This determines how many fax messages the iterator object retrieves from the fax server when the object needs to refresh its contents. 
get_PrefixText,Gets or sets the characters that come before the InkStrokes collection in the InkRecognizerContext object. 
get_PresentationURL,specifies the presentation URL for a Web page that controls the device.
get_Principal,Gets or sets the principal for the task that provides the security credentials for the task. 
get_Priority,Gets and sets the priority level of the download. 
get_Priority,Gets or sets the priority level of the task. 
get_Priority,is a number representing the transmission priority designated for a specified fax port. Priority determines the relative order in which available fax devices send outgoing transmissions. 
get_Priority,is a value associated with the order in which the fax service calls the routing method when the service receives a fax job. 
get_Priority,"specifies the priority to use when sending the fax; for example, normal, low, or high priority."
get_Priority,"specifies the priority to use when sending the fax; for example, normal, low, or high priority. "
get_Priority,"specifies the priority used when sending the fax; for example, normal, low, or high priority."
get_Priority,The channel priority.
get_PrivateKey,Retrieves an IX509PrivateKey object that contains the private key used to sign the certificate request.
get_PrivateKey,Retrieves the private key associated with the certificate.
get_PrivateKey,Retrieves the private key associated with the ISignerCertificate object.
get_PrivateKeyArchiveCertificate,Sets or retrieves the certificate that is used to archive a private key with a PKCS. 
get_PrivateTAPIObjects,of the ITTAPI interface is not implemented and will return E_NOTIMPL.
get_Privilege,"gets the call privilege of the application for the current call, such as CP_MONITOR."
get_Privilege,retrieves the privilege of the open phone.
get_ProcessImageFileName,Specifies the process image file name for this application. 
get_ProcessMode,"Retrieves or sets a value that indicates whether the session is a private, in-process session. "
get_ProcessName,Retrieves the name of the application that generated the request.
get_ProcessTokenSidType,Gets or sets the task process security identifier  type. 
get_Product,Gets the language-invariant name of the product.
get_ProductId,Retrieves the product ID of the device.
get_ProductName,Returns the current product information for the security product.
get_ProductRevision,Retrieves the product revision code of the device.
get_ProductState,Returns the current state of the signature data for the security product.
get_ProductStateTimestamp,Returns the current time stamp for the security product.
get_Profiles,Specifies the profiles to which the rule belongs. 
get_Progress,Gets an interface that contains the progress of the asynchronous download at the time that the callback was made.
get_Progress,Gets an interface that contains the progress of the asynchronous installation or uninstallation at the time the callback was made.
get_ProgressItems,Retrieves the progress item block mapping collection.
get_Properties,Retrieves an object implementing the IRDPSRAPISessionProperties interface.
get_Properties,Retrieves the list of extended data items that Event Tracing for Windows  includes with the event.
get_Properties,retrieves the properties for a port mapping.
get_Properties,Returns an object implementing the IRDPSRAPISessionProperties interface.
get_PropertiesAffected,names that the classifier can affect. 
get_PropertiesUsed,names that the classifier inspects. 
get_Property,Retrieves a certification authority property value.
get_Property,Retrieves a reference to an existing shared property with the specified name.
get_Property,Retrieves a template property value.
get_Property,Sets or gets a named session property. 
get_Property,Specifies or retrieves a property value for the IX509CertificateTemplateWritable object. 
get_PropertyAffected,that this rule affects. 
get_PropertyBagFlags,A set of flags that provide additional information about the property bag.
get_PropertyByPosition,Retrieves a reference to an existing shared property with the specified index.
get_PropertyConditionFlags,Retrieves a set of flags that specify how the condition is applied.
get_PropertyConditions,A list of property conditions specified for the job.
get_PropertyDefinitionFlags,Contains the flags for the property definition.
get_PropertyFlags,Flag values that provides additional information about a property.
get_PropertyId,Retrieves the identifier of the property on which this condition is based.
get_PropertyId,Specifies or retrieves a value of the CERTENROLL_PROPERTYID enumeration that identifies an external certificate property. 
get_PropertyId,"Specifies the predefined file property, as enumerated by the FsrmFileSystemPropertyId enumeration. "
get_PropertyName,Specifies the name of the file condition property. 
get_PropertyValue,Retrieves the property value that must be matched for the condition to be true.
get_Protocol,gets protocol identification.
get_Protocol,retrieves the protocol associated with this port mapping.
get_Protocol,Retrieves the protocol that is being used by the sharer or by the viewer for communication.
get_Protocol,Specifies the IP protocol of this rule. 
get_Protocol,Specifies the protocol type setting for this port. 
get_Protocols,Receives a value that indicates which transport protocols are supported by the WDS server.
get_ProtocolType,Retrieves or specifies the protocol type for the session. 
get_ProviderCLSID,Gets or sets the CLSID of the revocation information provider used by the CA configuration. 
get_ProviderFlags,of IEnroll4 sets or retrieves the provider type. 
get_ProviderFlags,Sets or retrieves the provider type. 
get_ProviderName,before you call the Open method. You cannot change the ProviderName property after you have called the Open method. 
get_ProviderName,Gets or sets the name of the cryptographic service provider  or key storage provider  that is used to generate or store the private key. 
get_ProviderName,of ICEnroll4 sets or retrieves the name of the cryptographic service provider  to use. 
get_ProviderName,Retrieves the provider name.
get_ProviderName,Specifies or retrieves the name of the cryptographic provider. 
get_ProviderNameWStr,Sets or retrieves the name of the cryptographic service provider  to use. 
get_ProviderOptions,"Specifies the type of Microsoft UI Automation provider; for example, whether it is a client-side  or server-side provider."
get_ProviderProperties,Gets or sets information that provides certificate status responses. 
get_ProviderType,of ICEnroll4 sets or retrieves the type of provider. 
get_ProviderType,Sets or retrieves the type of provider. 
get_ProviderType,Specifies or retrieves the type of cryptographic provider associated with the private key. 
get_ProviderUniqueName,is a null-terminated string that contains the unique name for the fax service provider  associated with the device.
get_ProvidesNotifications,Gets a value that indicates whether the search engine is notified  about changes to the URLs under the search root.
get_ProxyFactory,Retrieves the proxy factory associated with this entry.
get_ProxyFactoryId,Retrieves the identifier of the proxy factory.
get_ProxyFactoryMapping,Retrieves an object that represents the mapping of Window classnames and associated data to individual proxy factories.
get_ProxyName,Retrieves the proxy name to be used by the protocol handler.
get_PublicKey,Retrieves the IX509PublicKey object that contains the public key included in the certificate request.
get_PublicKeyAlgorithm,Specifies and retrieves an object identifier  for the public key algorithm used in the GetSignatureAlgorithm method. 
get_PublisherID,The CLSID for the event publisher. 
get_PublisherID,The unique ID of the event publisher. 
get_PublisherName,The display name for the event publisher. 
get_PublisherType,The optional administrative group for the event publisher. 
get_PVKFileName,of ICEnroll4 sets or retrieves the name of the file that will contain exported keys. 
get_PVKFileNameWStr,Sets or retrieves the name of the file that will contain exported keys. 
get_Qualifier,Retrieves a string that contains the qualifier used to initialize the object.
get_QueryContentLocale,Gets the language code identifier  for the query.
get_QueryContentProperties,Gets the list of properties included in the query when search terms do not explicitly specify a property.
get_QueryKeywordLocale,Gets the language code identifier  for the locale to use when parsing Advanced Query Syntax  keywords.
get_QueryMaxResults,Gets the maximum number of results to be returned by the query.
get_QueryNetworkAdapters,Retrieves or sets a value that indicates whether the installed network adapters are queried for their offloading capabilities and other configuration information. 
get_QuerySelectColumns,Gets the columns  requested in the SELECT statement of the query.
get_QuerySorting,Gets the sort order for the query result set.
get_QuerySyntax,Gets the syntax of the query.
get_QueryTermExpansion,Gets the value that specifies how query terms are to be expanded.
get_QueryWhereRestrictions,Gets the restrictions appended to a query in WHERE clauses.
get_Queue,Gets a pointer to the queue on which the event occurred.
get_QueuedMessages,is a number that represents the total number of fax jobs in the fax job queue that are pending processing. This does not include jobs for which the number of retries has been exceeded.
get_Queues,Creates a collection of queues associated with the current acd group.
get_Queues,For automation client applications creates a collection of queues associated with the current acd group.
get_QueueStatus,is a null-terminated string that describes the job queue status of the fax job.
get_QuotaFlags,Retrieves or sets the quota flags for the object. 
get_QuotaLimit,Retrieves or sets the quota limit for the object. 
get_QuotaPeakUsage,Retrieves the highest amount of disk space usage charged to this quota.
get_QuotaPeakUsageTime,Retrieves the date and time that the IFsrmQuota::QuotaPeakUsage property was set.
get_QuotaUsed,Retrieves the current amount of disk space usage charged to this quota.
get_RandomDelay,Gets or sets a delay time that is randomly added to the start time of the trigger. 
get_RasterOperation,Gets or sets a value that defines how the colors of the pen and background interact. 
get_RatingStateDesc,Retrieves a string that you can use in a UI to indicate whether the assessment is valid.
get_RawData,Retrieves a byte array that contains the extension value. 
get_RawData,"Retrieves a byte array that contains the signed, Distinguished Encoding Rules  encoded certificate request."
get_RawData,Retrieves the attribute value.
get_RawData,Retrieves the Distinguished Encoding Rules  encoded byte array that contains the name.
get_RawData,Retrieves the Distinguished Encoding Rules  encoded qualifier object.
get_RawData,Retrieves the value of the certificate property.
get_RawDataToBeSigned,Retrieves the unsigned certificate request created by the Encode method.
GET_RAWINPUT_CODE_WPARAM,Retrieves the input code from wParam in WM_INPUT.
get_RawReceiveTime,Retrieves the RawReceiveTime property for a FaxTiff object.
get_RawViewCondition,Retrieves a predefined IUIAutomationCondition interface that selects all UI elements in an unfiltered view.
get_RawViewWalker,Retrieves a tree walker object used to traverse an unfiltered view of the Microsoft UI Automation tree.
get_Read,A flag that indicates if the fax has been read.
get_Read,Indicates if the fax has been read. 
get_ReaderName,Specifies or retrieves the name of a smart card reader. 
get_ReadOnly,Gets a Boolean value that indicates whether the Automatic Update settings are read-only.
get_ReadOnly,Gets a Boolean value that indicates whether the collection is read-only.
get_ReadOnly,Gets a Boolean value that indicates whether the session object is read-only.
get_ReadOnly,Gets a Boolean value that indicates whether the update collection is read-only.
get_ReadOnly,Gets a Boolean value that indicates whether the WebProxy object is read-only.
get_ReadyState,specifies the status of the document load operation.
get_RealTimeBuffersLost,Retrieves the number of buffers that were not delivered in real time to the consumer.
get_Reason,The reason the attendee was disconnected.
get_RebootBehavior,Gets an InstallationRebootBehavior enumeration that specifies the restart behavior that occurs when you install or uninstall the update.
